Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Image
49941485,This Is Happiness,Niall Williams,"Williams, Niall",,1635574218,,4,Bloomsbury Publishing,Kindle Edition,392,2019,2019,2023/06/10,2023/05/17,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1563780239l/49941485.jpg
59900661,The Whalebone Theatre,Joanna   Quinn,"Quinn, Joanna",,593321707,9780593321706,2,Knopf,Hardcover,558,2022,2022,2023/05/21,2023/05/21,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1655837688i/59900661.jpg
992078,Interior Freedom,Jacques Philippe,"Philippe, Jacques",Helena Scott,1594170525,9781594170522,5,Scepter Publishers,Paperback,134,2007,2002,2023/05/22,2023/05/22,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1387720736i/992078.jpg
61013,"The House of Gucci: A Sensational Story of Murder, Madness, Glamour, and Greed",Sara Gay Forden,"Forden, Sara Gay",,,,2,Custom House,Paperback,288,2001,2000,2023/05/24,2023/05/24,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1438535288i/61013.jpg
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,1892295490,9781892295491,2,Green Integer Books,Paperback,188,2003,1899,2023/05/27,2023/05/27,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1392799983i/4900.jpg
58594487,"Queens of the Age of Chivalry (England's Medieval Queens, #3)",Alison Weir,"Weir, Alison",,1473523338,9781473523333,4,Vintage Digital,Kindle Edition,478,2022,2022,2023/05/28,2023/05/28,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1648718040i/58594487.jpg
35068432,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,"McNamara, Michelle","Gillian Flynn, Patton Oswalt",62319809,9780062319807,3,Harper,ebook,352,2018,2018,2023/05/29,2023/05/29,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1499131009i/35068432.jpg
61771675,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,,,4,The Dial Press,Kindle Edition,594,2023,2023,2023/06/01,2023/06/01,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1687803098i/61771675.jpg
55817233,The Netanyahus,Joshua Cohen,"Cohen, Joshua",,1913097609,9781913097608,3,Fitzcarraldo Editions,Paperback,240,2021,2021,2023/06/20,2023/06/20,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1661302430i/55817233.jpg
53487148,A Thousand Ships,Natalie Haynes,"Haynes, Natalie",,63065398,9780063065390,3,Harper,Hardcover,368,2021,2019,2023/06/26,2023/06/26,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1597694359i/53487148.jpg
